YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders,innovative_summary,innovative_score,child_poverty_direct_summary,child_poverty_direct_score
2025 Regular Session,HB0025,Environment – Reservoir Augmentation Permit – Establishment,"Establishing the Reservoir Augmentation Program in the Department of the Environment; defining ""reservoir augmentation"" as the planned placement of reclaimed water into a surface water reservoir used as a source for a drinking water treatment facility; requiring a person to obtain a permit from the Department to perform reservoir augmentation; establishing an Indirect Potable Reuse Pilot Program in the Department to make recommendations on whether the program should be extended or made permanent and any statutory or regulatory changes necessary; etc.","This bill establishes the Reservoir Augmentation Program within the Maryland Department of the Environment. It requires any person performing reservoir augmentation (planned placement of reclaimed water into surface water reservoirs used for drinking water) to obtain a permit from the Department. The bill outlines the process for issuing, modifying, renewing, denying, or revoking these permits, sets treatment standards to protect public health and the environment, and mandates that all revenues collected from application fees, permit fees, renewal fees, and penalties under the program will be used exclusively for its operation and oversight.",True,2025.0,,,Maryland Department of the Environment,"Any person or entity involved in public water systems or drinking water treatment facilities, including federal, state, county, or municipal corporations, that plan to use reclaimed water for reservoir augmentation. Ultimately, the general public will be impacted through regulated drinking water supply.","The program formalizes and regulates reservoir augmentation, which is an innovative approach to water resource management involving the planned placement of highly treated reclaimed water into drinking water reservoirs. This builds upon an existing 'Indirect Potable Reuse Pilot Program,' signifying a shift from pilot testing to statewide implementation and regulation of advanced water reuse technologies for public drinking water supplies.",7,"The bill establishes a regulatory framework for ensuring safe and reliable drinking water sources through advanced water treatment and reuse. While access to clean and sufficient water is a foundational element for public health and community well-being, which can indirectly support stable environments for all families, the bill does not directly address economic disparities, provide social services, or allocate specific resources aimed at alleviating child poverty.",2
2025 Regular Session,HB0027,Estates and Trusts - Compensation of Guardians of Property and Trustees,Clarifying the commissions that a guardian of the property may charge; authorizing a trustee of a trust to charge compensation that is reasonable under the circumstances; and authorizing trustees who are financial institutions or members of the Maryland Bar to charge compensation that is reasonable under the circumstances and calculated in accordance with a schedule of rates filed with an appropriate agency.,"This bill clarifies and modifies the rules for how guardians of property and trustees of trusts can charge compensation for their services in Maryland. It establishes specific schedules for commissions for guardians of property based on income and corpus value, and for sales and distributions. For trustees, it shifts towards a standard of ""reasonable compensation under the circumstances"" unless the trust terms specify otherwise. Certain institutional trustees and attorneys are still authorized to charge compensation in accordance with filed rate schedules, with provisions for beneficiaries to object. The bill also updates how certain trust disbursements are allocated between income and principal.",False,2025.0,,,"Maryland Courts, State Director of the Division of Savings and Loan Associations, Commissioner of Financial Regulation","Guardians of property, trustees of trusts, beneficiaries of trusts, interested parties in guardianship estates (including disabled persons under guardianship), financial institutions acting as trustees, and members of the Maryland Bar acting as trustees.","This bill primarily revises existing legal statutes concerning the compensation of guardians and trustees. It clarifies commission structures and introduces a 'reasonable compensation' standard for certain trustees, but does not involve new technologies, novel government service delivery, or innovative policy approaches.",1,"The bill focuses on the compensation of fiduciaries (guardians and trustees) administering estates and trusts. While some trusts or guardianships may involve children, the bill does not directly address or implement programs to alleviate child poverty. Any impact on child poverty would be indirect, minor, and incidental to its primary purpose of regulating fiduciary compensation.",1
2025 Regular Session,HB0031,Consumer Protection - Right to Repair - Powered Wheelchairs,"Requiring, in order to make repairs to powered wheelchairs, that a certain manufacturer make available certain documentation, parts, embedded software, firmware, and tools to a certain independent repair provider or owner of a powered wheelchair; providing that a violation of the Act constitutes an unfair, abusive, or deceptive trade practice subject to certain enforcement and penalty provisions; and applying the Act prospectively.","This bill establishes a ""right to repair"" for powered wheelchairs in Maryland. It requires manufacturers of powered wheelchairs to make available necessary documentation, parts, embedded software, firmware, and tools to independent repair providers and owners on fair and reasonable terms and costs, for specific parts of the wheelchair. The bill aims to facilitate the repair of these essential medical devices.",False,2025.0,,,Maryland Attorney General's Office (Consumer Protection Division),"Owners of powered wheelchairs (including individuals with physical disabilities), independent repair providers, and manufacturers of powered wheelchairs.","This bill implements a ""right to repair"" framework specifically for powered wheelchairs, which is a modern and evolving legislative approach to consumer protection and market regulation. By increasing accessibility to repair resources for essential medical devices, it represents an innovative policy response to consumer demands for greater product longevity and choice in repair services.",7,"While not directly addressing child poverty, this bill could indirectly benefit families with children by reducing the financial burden associated with maintaining and repairing essential powered wheelchairs. By making repairs more accessible and potentially more affordable, it could free up household income that would otherwise be spent on costly specialized repairs or replacements, thereby alleviating some financial strain on low-income families.",4
2025 Regular Session,HB0032,Maryland Department of Health - Forensic Review Board - Established,Requiring the Maryland Department of Health to establish a forensic review board at facilities that have charge of persons who have been committed to the facility as not criminally responsible; authorizing a forensic review board to make recommendations relating to the release or rehabilitation of a committed person; requiring the board to give notice at least 10 days before a meeting concerning the committed person; requiring the board to give consideration to a written statement offered by the committed person to the board; etc.,"This bill requires the Maryland Department of Health to establish forensic review boards at facilities that house individuals committed as not criminally responsible. These boards will be composed of licensed healthcare providers and are mandated to annually review the eligibility for discharge or conditional release of each committed person. The boards will make recommendations to the court, including reasons for their decisions and plans for overcoming barriers to release. The bill also outlines procedures for notification, representation, and the implementation of treatment recommendations.",True,2025.0,,,Maryland Department of Health,"Committed persons (individuals found not criminally responsible and committed to health facilities), their legal counsel, State's Attorneys, the courts, and healthcare providers who will serve on the forensic review boards.","The bill establishes and formalizes a structured, annual review process for the release eligibility of individuals committed as not criminally responsible through dedicated forensic review boards. While it does not introduce new technologies, it standardizes oversight, decision-making, and procedural fairness within the existing legal and health system for this specific population. This is more of a procedural enhancement rather than a groundbreaking innovation.",3,"This bill focuses on the legal and medical review processes for adults committed as not criminally responsible. It does not contain any provisions or mechanisms directly aimed at addressing or alleviating child poverty. Any potential impact on child poverty would be indirect and negligible, as it is outside the scope and intent of the program.",1
2025 Regular Session,HB0033,Department of Service and Civic Innovation - Maryland Corps Program Service Year Option Pathways - Revisions,Altering the duties of the Department of Service and Civic Innovation; renaming the Governor's Volunteer Council to be the Governor's Commission on Service and Volunteerism; altering certain requirements relating to qualifications for applicants and compensation for participants in the Young Adult Service Year Option Pathway and the Maryland Service Year Option Pathway; altering certain reporting requirements; and repealing the Executive Fellows Program.,"This bill revises the Maryland Corps Program Service Year Option Pathways, altering the duties of the Department of Service and Civic Innovation, renaming the Governor’s Volunteer Council to the Governor’s Commission on Service and Volunteerism, and adjusting requirements for participants. It repeals the Executive Fellows Program, and modifies applicant qualifications and compensation for both the Young Adult Service Year Option Pathway and the Maryland Service Year Option Pathway. Key changes include setting minimum wage as the stipend floor (or county minimum if higher), making the $6,000 completion award a cash stipend (instead of potentially a 529 deposit), and expanding eligibility for the Young Adult Pathway to those aged 18-25. The bill also specifies annual funding appropriations for the Maryland Service Year Option Pathway Fund, starting with $5 million in fiscal year 2024 and reaching $20 million annually from fiscal year 2027 onwards.",False,2023.0,,50000000.0,Department of Service and Civic Innovation,"Maryland residents, particularly young adults (18-25 years old), individuals historically underrepresented in higher education or employment, corps participants, employers, non-profit organizations, and State and local governments.","The bill focuses on refining and expanding existing service year programs (Maryland Corps Program) by adjusting participant qualifications, compensation structures, and reporting requirements. It does not introduce new technologies or novel approaches to government service, but rather enhances an established framework for public service and workforce development.",2,"The program provides stipends, health insurance benefits, and completion awards to young adult participants, many of whom are historically underrepresented in education and employment. By improving the economic stability, job training, and professional development of these young adults, the program can indirectly reduce child poverty if participants are parents or contribute to households with children. However, it does not directly target or provide services to children in poverty.",4
2025 Regular Session,HB0036,Department of Aging – Aging Services – Program Repeal and Consolidation,"Repealing provisions of law requiring the Secretary of Aging to develop certain congregate housing and assisted living programs for seniors; repealing the Interagency Committee on Aging Services and transferring certain responsibilities of the Committee to the Department of Aging; requiring the Department, beginning in June 2025, in coordination with area stakeholders, to conduct program transition planning and to co-design the new, consolidated program required by the Act; etc.","This bill reorganizes and streamlines aging services in Maryland by repealing several existing programs and committees, including congregate housing and assisted living programs for seniors, and the Interagency Committee on Aging Services. It transfers responsibilities to the Department of Aging, authorizing it to implement and coordinate services for older adults. The Department is now responsible for establishing and supervising 'single points of entry' within each planning and service area to assess needs and provide comprehensive services. It also requires the Department to develop, coordinate, and administer a system to provide long-term services and supports for older adults, enabling them to age in a location of their choice with appropriate services. The bill mandates transition planning with stakeholders starting June 2025, ensuring current participants in repealed programs receive person-centered assessments for continued care.",True,2025.0,,,Department of Aging,"Older adults, their caregivers, area agencies on aging, nonprofit organizations, and other persons involved in providing aging services.","The program is innovative in its approach to government by consolidating and coordinating fragmented aging services into a more streamlined system. It establishes 'single points of entry' to simplify access for older adults and their caregivers, focusing on person-centered assessments and integrated care plans. While not technologically innovative, it represents a significant organizational and process innovation to improve efficiency and responsiveness in service delivery, aiming to allow older adults to age in place with appropriate supports.",5,"The bill focuses on services for older adults and their caregivers. While improved services for older adults could indirectly alleviate financial burdens on adult caregivers who might be parents, it does not directly establish programs or funding specifically aimed at reducing child poverty.",1
2025 Regular Session,HB0039,Public Health - Repeal of Prohibition on Transfer of Human Immunodeficiency Virus (Carlton R. Smith Act),Repealing the prohibition on an individual from knowingly transferring or attempting to transfer the human immunodeficiency virus to another individual.,"This bill repeals a Maryland law that prohibited an individual with HIV from knowingly transferring or attempting to transfer the virus to another person, which was previously a misdemeanor offense subject to fines and imprisonment. The repeal takes effect on October 1, 2025.",False,,,,Maryland State government (legal and public health systems),"Individuals with Human Immunodeficiency Virus (HIV), the general public, and the Maryland legal and justice system.","This bill is not innovative in terms of new technologies or government approaches. It represents a change in legal policy by decriminalizing HIV transmission, which aligns with modern public health strategies that prioritize education and prevention over criminalization. However, it does not introduce new programs or services.",2,"This bill repeals a criminal statute related to HIV transmission and has no direct impact on child poverty. While changes in criminal law can sometimes have indirect effects on families, this bill does not directly address economic support, education, healthcare access, or other factors directly linked to child poverty.",1
2025 Regular Session,HB0040,Natural Resources - Fishing Licenses and Stamps - Alterations,"Altering the fees for resident consolidated senior sport fishing licenses, angler's licenses, and trout stamps; and repealing the exemption from the requirement to obtain a trout stamp under certain circumstances for a holder of a resident consolidated senior sport fishing license.","This bill alters the fees for resident consolidated senior sport fishing licenses, angler's licenses, and trout stamps. It also repeals the exemption that previously allowed holders of a resident consolidated senior sport fishing license to angle for trout without obtaining a trout stamp.",False,2025.0,,,Maryland Department of Natural Resources,"Maryland residents who are anglers, especially seniors and recipients of the Purple Heart Award, and non-resident anglers.",This bill primarily adjusts fees and regulations for existing fishing licenses and stamps. It does not introduce new technologies or novel governmental approaches. The provision for discounted licenses for Purple Heart Award recipients is a policy change rather than an innovative program.,1,"This bill focuses on recreational fishing licenses and fees, with no direct provisions or mechanisms designed to address or impact child poverty. The changes in fees for fishing licenses are unlikely to have a direct effect on child poverty levels.",1
2025 Regular Session,HB0041,Election Law - Petitions for the Formation of a New Political Party - Process,Altering the time periods during which a petition for the formation of a new political party or additional signatures to a petition may not be filed; and prohibiting signatures submitted with a petition that was officially determined as not meeting certain legal requirements from being resubmitted with a subsequent petition.,"This bill amends Maryland's Election Law to alter the time periods during which petitions for the formation of a new political party, or additional signatures to such petitions, cannot be filed. It also prohibits signatures from a petition that failed to meet legal requirements from being resubmitted with a subsequent petition.",False,2025.0,,,State Board of Elections,"Individuals seeking to form new political parties, political parties, and voters participating in the petition process.",This bill makes procedural adjustments to existing election law regarding the formation of new political parties and the validity of petition signatures. It does not introduce any new technologies or novel approaches to government services.,1,This bill focuses on election law processes for forming new political parties and has no direct impact on child poverty. Any potential effect would be extremely indirect and negligible.,1
2025 Regular Session,HB0043,Federally Qualified Health Centers Grant Program - Acquisition of Land,"Authorizing the Board of Public Works, on recommendation of the Secretary of Health, to make grants under the Federally Qualified Health Centers Grant Program to counties, municipal corporations, and nonprofit corporations for the acquisition of land for the construction or use of a federally qualified health center.","This bill expands the Federally Qualified Health Centers Grant Program to allow grants to be used for the acquisition of land for the construction or use of a federally qualified health center. Previously, grants could be used for conversion, acquisition of existing buildings, renovation, capital equipment, and planning/design/construction of centers.",False,2025.0,,,Board of Public Works (on recommendation of the Secretary of Health),"Counties, municipal corporations, and nonprofit organizations that apply for grants, and the public, particularly underserved communities, who utilize federally qualified health centers.",This bill makes a pragmatic change to an existing grant program by expanding the types of expenditures eligible for funding to include land acquisition. It does not introduce new technologies or novel approaches to government services.,2,"By enabling the acquisition of land for Federally Qualified Health Centers, the bill aims to improve and expand access to healthcare services, which often serve low-income and underserved populations, including children. While this can indirectly improve the health and well-being of children from impoverished families, it does not directly address the root causes or symptoms of child poverty, such as income, housing, or food insecurity.",4
2025 Regular Session,HB0046,Public Health - Cannabis Public Health Advisory Council - Membership,"Altering the membership of the Cannabis Public Health Advisory Council to include the Administrator of the Motor Vehicle Administration, or the Administrator's designee, and the Executive Director of the Office of Social Equity in the Maryland Cannabis Administration, or the Executive Director's designee.","This bill alters the membership of the Cannabis Public Health Advisory Council. Specifically, it replaces the representative from the Natalie M. LaPrade Medical Cannabis Commission with a representative from the Maryland Cannabis Administration, and adds the Administrator of the Motor Vehicle Administration and the Executive Director of the Office of Social Equity in the Maryland Cannabis Administration to the council.",False,2025.0,,,Cannabis Public Health Advisory Council (under the Department of Health),"Members of the Cannabis Public Health Advisory Council, including representatives from the Maryland General Assembly, Department of Health, Department of Agriculture, Maryland Cannabis Administration, Motor Vehicle Administration, Office of Social Equity, State Superintendent of Schools, Governor's Office of Crime Prevention and Policy, and gubernatorial appointees with expertise in public health, cannabis, substance use disorder, social equity, and academia. More broadly, the public health sector and cannabis industry in Maryland.","The bill makes administrative changes to the membership of an existing advisory council. It does not introduce any new programs, technologies, or novel approaches to government services or public interaction.",1,This bill modifies the composition of a public health advisory council for cannabis. There is no direct mechanism or specific initiative within the bill that would directly address or impact child poverty. Any potential impact would be highly indirect and contingent on future policy recommendations from the council and subsequent legislative actions.,1
